iter	Passed	Remaining
891	1626	196
892	1627	195
893	1629	193
894	1630	191
895	1631	189
896	1632	187
897	1634	185
898	1635	183
899	1637	181
900	1638	180
901	1640	178
902	1641	176
903	1643	174
904	1644	172
905	1645	170
906	1646	168
907	1648	166
908	1649	165
909	1650	163
910	1652	161
911	1653	159
912	1655	157
913	1656	155
914	1657	154
915	1659	152
916	1660	150
917	1661	148
918	1662	146
919	1664	144
920	1665	142
921	1666	141
922	1668	139
923	1670	137
924	1671	135
925	1673	133
926	1674	131
927	1675	129
928	1676	128
929	1677	126
930	1679	124
931	1680	122
932	1682	120
933	1683	118
934	1685	117
935	1686	115
936	1687	113
937	1688	111
938	1690	109
939	1691	107
940	1692	106
941	1693	104
942	1694	102
943	1696	100
944	1697	98
945	1698	96
946	1700	95
947	1702	93
948	1703	91
949	1704	89
950	1706	87
951	1707	86
952	1708	84
953	1709	82
954	1711	80
955	1712	78
956	1714	77
957	1716	75
958	1717	73
959	1719	71
960	1720	69
961	1721	68
962	1722	66
963	1724	64
964	1725	62
965	1726	60
966	1727	58
967	1729	57
968	1731	55
969	1733	53
970	1734	51
971	1735	49
972	1736	48
973	1738	46
974	1739	44
975	1740	42
976	1742	41
977	1743	39
978	1744	37
979	1746	35
980	1748	33
981	1749	32
982	1750	30
983	1752	28
984	1753	26
985	1754	24
986	1755	23
987	1757	21
988	1758	19
989	1760	17
990	1762	16
991	1763	14
992	1764	12
993	1766	10
994	1767	8
995	1768	7
996	1769	5
997	1771	3
998	1772	1
999	1774	0
